income_code,age_range,gender,ethnicity,education,population
G,55_64,male,islander,Graduate Degree,110
G,18_24,female,hispanic,Some College,54582
C,18_24,male,black,< Than HS Diploma,21883
L,45_54,male,black,Graduate Degree,10432
K,45_54,female,asian,< Than HS Diploma,299
I,55_64,male,white,Some College,91236
B,85_120,female,hispanic,Bachelor Degree,2341
J,65_74,male,black,< Than HS Diploma,937
D,35_44,female,islander,Bachelor Degree,286
J,55_64,female,hispanic,< Than HS Diploma,19087
B,65_74,female,white,< Than HS Diploma,132931
L,75_84,female,asian,Graduate Degree,3056
K,55_64,female,hispanic,Bachelor Degree,5146
L,25_34,female,black,Some College,17213
G,55_64,male,islander,< Than HS Diploma,35
I,35_44,female,white,Graduate Degree,73938
B,85_120,male,black,< Than HS Diploma,35372
F,65_74,male,black,Some College,25709
H,45_54,male,hispanic,Graduate Degree,21941
D,75_84,female,black,Some College,30340
B,55_64,male,black,Bachelor Degree,9148
C,45_54,male,asian,Graduate Degree,4466
L,25_34,female,black,< Than HS Diploma,2614
A,65_74,female,asian,Bachelor Degree,4547
C,65_74,male,hispanic,Bachelor Degree,2108
F,18_24,male,islander,< Than HS Diploma,22
L,35_44,male,asian,Graduate Degree,27999
C,45_54,male,black,Bachelor Degree,13693
K,45_54,male,asian,Graduate Degree,33594
D,65_74,female,asian,< Than HS Diploma,4055
C,55_64,female,islander,Bachelor Degree,53
K,18_24,male,islander,HS Diploma,20
E,25_34,female,hispanic,HS Diploma,285837
E,75_84,female,black,HS Diploma,46321
B,45_54,female,asian,HS Diploma,13158
A,75_84,female,white,HS Diploma,416381
I,18_24,female,hispanic,HS Diploma,7176
K,45_54,male,islander,HS Diploma,70
C,75_84,female,hispanic,HS Diploma,21705
H,85_120,female,black,< Than HS Diploma,1859
I,85_120,male,white,< Than HS Diploma,6970
A,85_120,male,asian,Graduate Degree,2334
K,75_84,female,asian,Bachelor Degree,4807
D,25_34,female,islander,Graduate Degree,277
K,35_44,male,white,Bachelor Degree,248959
D,45_54,female,asian,Bachelor Degree,15574
F,75_84,female,hispanic,HS Diploma,10556
D,85_120,female,hispanic,Some College,3340
E,85_120,female,white,< Than HS Diploma,62733
